voter,rawScore
0x381bb13ad7d9183e061b986f6f2a3bf71b35f550,27.63
0x93907de38066d70109935732757b625d636e47b6,35.25
0xc10772b4b5dfd0799bcbc6348980ddea350bb1c9,33.89
0x2fe95ba46d36e6bbc8d3bbc6bf3f18c85c91f3af,34.72
0x3fc5140aca1c7e381f6c1eadd8f104bf9e378ada,35.56
0x9712ab54490ddd5491790465472327db04d0cd96,24.82
0x6591c24a7f7d3b37527487a457b2f467936dfe59,22.94
0x66be2c0290003c992b7c4716d8eb0cf8833be65e,16.16
0xb9deb81ce0ec8fde918e49aaf3734e753a309844,23.25
0xe679d21696f2d833e1d92cf44f88a78e796756a3,52.74
0x686129b664a59b35ed1f070257f9ea8894196b69,23.01
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,63.3
0xba069ad8843b4bbef9c92539313398d52846e457,16.58
0x55039d5bdf038cb3836b8a011acaa68013544dcd,15.64
0xaea230dfce6cb16833ec53397cfa3654a105f355,29.31
0xa6f4715e7c900f3d0b90751c95068d7d94ae1e31,21.06
0x7c1282a13c5b6b657b78ce3662a5d685fcc21fee,19.08
0x196a37946c3d93e9a5309f539ae28b774a32411f,29.3
0x7edb11d203b53c326abc7aa77bd3284d5e40b77d,29.31
0xa2a2602bc84371e6a7af8b88467e8b3f10aa7658,41.42
0x0c37538a05b1499cc0c8f58e130eb8176f7c681a,30.15
0x72eb41ae7f943445da9932662d31a06d56a3cfaa,38.68
0x7450fb048bd81d69c27676b93129f611af948c28,41.7
0xf0a223318c9acb30b765a2dc0ff07876ec5a204e,
0x66c97dc031bb2f6ad421cef7b01de0ca2ae4fe64,40.35
0x295a0bc540f3d9a9bd67a777ca9da9fb5619d3a9,34.12
0x69155e7ca2e688ccdc247f6c4ddf374b3ae77bd6,47.03
0xd5de76cee426690bf11a90ebf50a71131648b6a4,30.96
0x7e5923ee4318d18f5a30f1ea221c93ded774a8c3,15.64
0x118b09a1b38be948ec781bb90bcf57d1918adb3d,22.52
0x57768da7994d07d56e1f348e48e1bf8fd4b99345,32.63
0x08e69f589a475d8a4c1618fba1df7cb35e620240,14.2
0xd38aa7740f087d115a4f3f528866ef7a87e56f91,20.53
0x585e7775eec9a6642e38e2f7ae933070c0d020ae,15.85
0x91085bb41b042e6d44095f6e8fe36984536add81,17.41
0x17b465933f04013abb24391f72b3bda2ad7a1645,17.94
0x074631095645e426e50b478d40301dd35e74f24c,18.45
0xbc6940bc2dce2647196c983c3cba65a532df6875,23.53
0xb93e156f3328bfb2a03c9ab1d3512f2f2f8abbe2,31.62
0xd632a4416f57e8b908f84a18d851ce111966b4e0,0.0
0xbc2e26ded32a96911b65ee2283a1e30f077bbc59,28.88
0x8bf2ffc89c70efbe245aa81cc597c7e359925d61,25.96
0x6846cc6a83f8f9e05b3347ca4cd8eb084c0d2bf9,30.77
0xff8221afb8747db08ef7d763602af382fdac57d8,30.34
0xed22bb0106c24c7f6b4d8aae33639e1467061f64,21.37
0x1b7a0da1d9c63d9b8209fa5ce98ac0d148960800,26.07
0x768263481c4703c22144558112d931b683492b52,35.97
0xc96fddf685ca33d682f6faf8f5cd8a5bc50d637a,15.64
0x6a20ca6e28d8401f5883b3c7dc48b1e81aaedf30,35.35
0xe76183d03fcad988f74a2645c122b06b467f6649,26.48
0x359b0ceb2dabcbb6588645de3b480c8203aa5b76,
